,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
1482,190653,I. Brizuela,27,https://cdn.sofifa.org/players/4/19/190653.png,Mexico,https://cdn.sofifa.org/flags/83.png,76,76,Guadalajara,https://cdn.sofifa.org/teams/2/light/1880.png,€8M,€36K,1947,Right,1,4,4,High/ Medium,Lean,No,RM,11,"Dec 18, 2014",,2021,5'7,146lbs,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,69+2,69+2,69+2,75+2,64+2,60+2,60+2,60+2,64+2,61+2,54+2,54+2,54+2,61+2,73,65,50,72,61,80,69,52,65,79,90,92,90,68,78,72,66,80,68,69,70,43,69,66,60,72,40,50,42,12,9,16,15,16,€13.6M
1485,142784,P. Zabaleta,33,https://cdn.sofifa.org/players/4/19/142784.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,76,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,€3M,€60K,1976,Right,3,3,3,Medium/ High,Normal,Yes,RB,5,"Jul 1, 2017",,2019,5'10,163lbs,65+3,65+3,65+3,66+3,66+3,66+3,66+3,66+3,67+3,67+3,67+3,67+3,70+3,70+3,70+3,67+3,73+3,75+3,75+3,75+3,73+3,74+3,78+3,78+3,78+3,74+3,74,49,74,72,50,71,68,66,64,75,50,51,66,80,64,66,79,70,73,57,85,81,70,66,64,76,79,82,79,10,14,15,7,5,€5.6M
1496,190919,F. Montero,30,https://cdn.sofifa.org/players/4/19/190919.png,Colombia,https://cdn.sofifa.org/flags/56.png,76,76,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,€7.5M,€15K,2001,Right,2,4,4,Medium/ Low,Normal,No,ST,10,"Jan 17, 2018",,2019,5'9,161lbs,75+2,75+2,75+2,75+2,76+2,76+2,76+2,75+2,76+2,76+2,76+2,74+2,71+2,71+2,71+2,74+2,60+2,59+2,59+2,59+2,60+2,57+2,54+2,54+2,54+2,57+2,68,76,75,72,81,76,84,76,69,80,71,72,85,74,78,78,73,72,58,74,52,40,77,80,82,83,54,46,27,10,8,9,10,14,€15M
1498,209610,J. Vázquez,30,https://cdn.sofifa.org/players/4/19/209610.png,Mexico,https://cdn.sofifa.org/flags/83.png,76,76,Santos Laguna,https://cdn.sofifa.org/teams/2/light/110144.png,€5.5M,€20K,1934,Right,1,3,2,Medium/ High,Normal,No,LCM,23,"Jan 1, 2018",,2018,5'5,141lbs,61+2,61+2,61+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,67+2,71+2,71+2,71+2,67+2,73+2,74+2,74+2,74+2,73+2,73+2,71+2,71+2,71+2,73+2,55,40,55,79,48,59,58,59,70,71,77,73,78,73,88,68,69,90,64,64,63,79,65,65,56,80,73,77,74,7,7,8,16,6,€9.4M
1500,214989,M. Benítez,24,https://cdn.sofifa.org/players/4/19/214989.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,80,Independiente,https://cdn.sofifa.org/teams/2/light/110093.png,€10M,€18K,1889,Right,1,2,4,High/ High,Lean,No,CAM,7,"Jul 17, 2011",,2021,5'8,159lbs,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,64+2,61+2,61+2,61+2,64+2,60+2,53+2,53+2,53+2,60+2,69,75,57,75,66,81,63,42,63,75,88,78,84,75,66,72,51,83,66,73,44,57,75,69,69,75,65,33,23,7,9,15,9,12,€14.8M
1532,163301,J. Orozco,32,https://cdn.sofifa.org/players/4/19/163301.png,Mexico,https://cdn.sofifa.org/flags/83.png,76,76,Santos Laguna,https://cdn.sofifa.org/teams/2/light/110144.png,€4.4M,€16K,1409,Right,2,3,1,Medium/ Medium,Normal,No,GK,1,"Jan 1, 2017",,2018,6'0,179lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,12,52,14,27,14,14,61,35,59,60,69,73,63,24,84,45,68,12,40,12,13,70,24,69,21,15,20,76,71,82,77,76,€7.5M
1545,179696,E. Insúa,29,https://cdn.sofifa.org/players/4/19/179696.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,76,VfB Stuttgart,https://cdn.sofifa.org/teams/2/light/36.png,€6M,€31K,2056,Left,2,2,3,High/ Medium,Normal,No,LWB,2,"Jul 11, 2015",,2020,5'11,174lbs,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,72+2,73+2,73+2,73+2,72+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,74+2,82,49,72,76,64,74,59,68,74,74,65,66,68,75,68,85,71,78,77,76,79,79,71,68,66,75,68,75,75,11,10,9,8,16,€10.2M
1546,167665,N. Domingo,33,https://cdn.sofifa.org/players/4/19/167665.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,76,Independiente,https://cdn.sofifa.org/teams/2/light/110093.png,€3.1M,€19K,1935,Right,1,3,3,Low/ High,Normal,No,LDM,5,"Jul 24, 2017",,2020,5'9,154lbs,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,68+2,68+2,68+2,66+2,72+2,72+2,72+2,66+2,70+2,74+2,74+2,74+2,70+2,70+2,71+2,71+2,71+2,70+2,58,54,58,75,58,66,59,47,77,75,58,55,74,75,75,67,68,77,66,68,73,76,56,68,68,74,73,78,71,7,16,14,10,15,€4.4M
1548,214770,D. González,30,https://cdn.sofifa.org/players/4/19/214770.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,76,Club Tijuana,https://cdn.sofifa.org/teams/2/light/111678.png,€7M,€22K,1996,Right,1,3,3,Medium/ High,Normal,No,LCM,7,"Jul 24, 2018",,2019,5'11,172lbs,70+2,70+2,70+2,70+2,71+2,71+2,71+2,70+2,72+2,72+2,72+2,72+2,74+2,74+2,74+2,72+2,73+2,75+2,75+2,75+2,73+2,72+2,72+2,72+2,72+2,72+2,68,64,64,77,50,71,58,41,75,73,68,70,66,77,60,75,69,93,79,73,84,75,69,73,57,76,65,71,69,16,13,7,12,14,€11.9M
1552,216054,N. Domínguez,28,https://cdn.sofifa.org/players/4/19/216054.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,77,Racing Club,https://cdn.sofifa.org/teams/2/light/101085.png,€7M,€12K,1921,Right,1,3,3,Medium/ Medium,Normal,No,CDM,23,,Querétaro,"Dec 31, 2018",6'0,179lbs,66+2,66+2,66+2,65+2,67+2,67+2,67+2,65+2,69+2,69+2,69+2,67+2,72+2,72+2,72+2,67+2,70+2,74+2,74+2,74+2,70+2,70+2,73+2,73+2,73+2,70+2,58,61,68,77,43,66,44,56,72,75,59,58,60,69,60,77,71,80,79,69,69,75,56,76,55,70,75,76,70,15,13,12,11,16,
1559,204538,R. Ruidíaz,27,https://cdn.sofifa.org/players/4/19/204538.png,Peru,https://cdn.sofifa.org/flags/59.png,76,76,Seattle Sounders FC,https://cdn.sofifa.org/teams/2/light/111144.png,€8M,€10K,1878,Right,1,4,4,High/ Medium,Lean,No,ST,11,"Jul 1, 2018",,2021,5'7,146lbs,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,72+2,64+2,64+2,64+2,72+2,55+2,49+2,49+2,49+2,55+2,52+2,44+2,44+2,44+2,52+2,67,80,74,66,71,76,66,69,53,74,79,86,83,70,79,76,74,76,49,73,62,28,80,65,70,75,34,22,23,12,9,9,11,12,€12M
1565,187132,C. Zambrano,28,https://cdn.sofifa.org/players/4/19/187132.png,Peru,https://cdn.sofifa.org/flags/59.png,76,77,FC Basel 1893,https://cdn.sofifa.org/teams/2/light/896.png,€7M,€25K,1800,Right,2,3,2,Medium/ High,Normal,No,CB,25,"Jan 30, 2018",,2019,6'1,172lbs,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,63+2,63+2,63+2,60+2,68+2,71+2,71+2,71+2,68+2,69+2,74+2,74+2,74+2,69+2,51,41,74,72,36,66,36,33,68,69,65,62,65,66,59,67,82,73,74,54,91,70,44,45,44,73,75,77,76,14,12,13,12,14,€11M
1575,212225,E. Roco,25,https://cdn.sofifa.org/players/4/19/212225.png,Chile,https://cdn.sofifa.org/flags/55.png,75,78,Beşiktaş JK,https://cdn.sofifa.org/teams/2/light/327.png,€7M,€36K,1612,Right,2,3,2,Medium/ High,Normal,No,CB,3,"Jul 27, 2018",,2021,6'4,174lbs,54+2,54+2,54+2,51+2,53+2,53+2,53+2,51+2,55+2,55+2,55+2,54+2,61+2,61+2,61+2,54+2,63+2,69+2,69+2,69+2,63+2,65+2,73+2,73+2,73+2,65+2,40,43,79,70,27,55,27,31,60,62,37,43,57,73,43,45,80,72,84,39,66,72,42,49,34,67,77,75,69,13,9,13,13,13,€13.8M
1581,210950,P. De Blasis,30,https://cdn.sofifa.org/players/4/19/210950.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,SD Eibar,https://cdn.sofifa.org/teams/2/light/467.png,€6.5M,€21K,1992,Right,1,4,3,High/ Medium,Normal,No,LM,16,"Aug 30, 2018",,2020,5'5,143lbs,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,60+2,57+2,57+2,57+2,60+2,58+2,53+2,53+2,53+2,58+2,68,72,80,73,60,77,77,62,66,77,84,75,92,72,95,75,93,77,42,71,74,28,73,71,79,74,55,39,37,13,11,8,8,8,€13.7M
1591,219145,G. Maripán,24,https://cdn.sofifa.org/players/4/19/219145.png,Chile,https://cdn.sofifa.org/flags/55.png,75,79,Deportivo Alavés,https://cdn.sofifa.org/teams/2/light/463.png,€7.5M,€17K,1470,Right,1,2,2,Low/ High,Normal,No,LCB,6,"Jul 7, 2017",,2021,6'4,183lbs,49+2,49+2,49+2,44+2,45+2,45+2,45+2,44+2,45+2,45+2,45+2,47+2,52+2,52+2,52+2,47+2,61+2,66+2,66+2,66+2,61+2,64+2,74+2,74+2,74+2,64+2,41,28,75,66,31,40,29,27,51,57,45,48,31,72,32,56,68,56,92,24,75,68,28,30,20,69,76,77,73,7,12,7,16,12,€16.3M
1594,204555,R. Álvarez,30,https://cdn.sofifa.org/players/4/19/204555.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,Club Atlas,https://cdn.sofifa.org/teams/2/light/101114.png,€6.5M,€21K,1955,Left,2,2,4,High/ Medium,Lean,Yes,CAM,11,"Jul 13, 2018",,2019,6'2,185lbs,71+2,71+2,71+2,73+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,72+2,72+2,72+2,73+2,64+2,64+2,64+2,64+2,64+2,61+2,59+2,59+2,59+2,61+2,78,68,64,76,73,79,78,76,76,79,62,59,73,75,56,75,74,65,73,75,63,53,72,72,63,73,35,58,54,5,11,11,14,10,€11.1M
1608,156433,A. Talavera,35,https://cdn.sofifa.org/players/4/19/156433.png,Mexico,https://cdn.sofifa.org/flags/83.png,75,75,Deportivo Toluca,https://cdn.sofifa.org/teams/2/light/1882.png,€1.6M,€11K,1289,Right,2,4,1,Medium/ Medium,Normal,No,GK,1,"Jul 1, 2009",,2022,6'2,181lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,14,35,13,10,15,14,35,21,58,58,57,69,47,25,80,36,75,13,38,24,14,43,44,60,26,13,14,80,71,71,72,76,€2.7M
1611,203796,F. Gutiérrez,27,https://cdn.sofifa.org/players/4/19/203796.png,Chile,https://cdn.sofifa.org/flags/55.png,75,75,Sporting Kansas City,https://cdn.sofifa.org/teams/2/light/696.png,€7M,€9K,1969,Left,2,4,3,Medium/ Medium,Normal,Yes,LCM,21,"Feb 8, 2018",,2020,5'7,141lbs,69+2,69+2,69+2,72+2,72+2,72+2,72+2,72+2,73+2,73+2,73+2,72+2,73+2,73+2,73+2,72+2,68+2,69+2,69+2,69+2,68+2,66+2,62+2,62+2,62+2,66+2,70,68,51,78,66,70,79,72,71,78,67,66,76,77,79,73,48,76,58,70,68,68,72,73,70,71,55,65,53,11,6,8,13,14,€10.5M
1620,205849,E. Andrada,27,https://cdn.sofifa.org/players/4/19/205849.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,78,Boca Juniors,https://cdn.sofifa.org/teams/2/light/1877.png,€5.5M,€16K,1148,Right,1,2,1,Medium/ Medium,Lean,No,GK,31,"Aug 3, 2018",,2022,6'4,179lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,13,31,18,16,14,15,17,20,45,44,34,70,43,17,54,45,59,13,24,25,19,48,19,43,17,20,14,77,71,67,72,78,€8.1M
1623,186650,M. Alustiza,34,https://cdn.sofifa.org/players/4/19/186650.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,U.N.A.M.,https://cdn.sofifa.org/teams/2/light/1881.png,€3.4M,€21K,1884,Left,1,4,3,High/ Medium,Normal,No,CAM,11,,Club Atlas,"Dec 31, 2018",5'5,150lbs,73+2,73+2,73+2,72+2,73+2,73+2,73+2,72+2,73+2,73+2,73+2,71+2,67+2,67+2,67+2,71+2,54+2,53+2,53+2,53+2,54+2,51+2,47+2,47+2,47+2,51+2,60,80,75,72,75,74,67,64,68,75,74,68,79,68,78,74,80,66,58,72,60,27,73,75,80,70,30,33,33,10,9,8,8,11,
1629,187421,J. Hernández,29,https://cdn.sofifa.org/players/4/19/187421.png,Mexico,https://cdn.sofifa.org/flags/83.png,75,75,Pachuca,https://cdn.sofifa.org/teams/2/light/110147.png,€5M,€26K,2007,Right,1,3,3,Medium/ High,Normal,No,CDM,16,"Jan 1, 2012",,2021,5'7,172lbs,63+2,63+2,63+2,66+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,71+2,71+2,71+2,68+2,72+2,73+2,73+2,73+2,72+2,71+2,70+2,70+2,70+2,71+2,64,49,56,74,71,67,71,63,71,73,67,72,67,69,74,74,81,89,69,69,84,75,56,73,69,75,69,72,69,9,9,13,8,11,€8.5M
1636,157217,N. Cardozo,31,https://cdn.sofifa.org/players/4/19/157217.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,Racing Club,https://cdn.sofifa.org/teams/2/light/101085.png,€5.5M,€20K,2060,Right,1,3,3,High/ High,Lean,No,LM,19,"Jan 5, 2018",,2020,5'8,146lbs,69+2,69+2,69+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,72+2,72+2,72+2,72+2,72+2,71+2,68+2,68+2,68+2,71+2,75,67,55,75,55,72,73,70,77,73,81,80,80,70,73,67,72,86,75,70,76,63,72,77,61,70,69,70,64,9,15,15,10,13,€8.3M
1645,237604,A. Franco,21,https://cdn.sofifa.org/players/4/19/237604.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,85,Independiente,https://cdn.sofifa.org/teams/2/light/110093.png,€9.5M,€13K,1592,Right,1,2,2,Medium/ High,Normal,No,CB,2,"Jan 1, 2017",,2022,6'0,170lbs,50+2,50+2,50+2,47+2,49+2,49+2,49+2,47+2,48+2,48+2,48+2,50+2,53+2,53+2,53+2,50+2,65+2,67+2,67+2,67+2,65+2,68+2,74+2,74+2,74+2,68+2,35,27,78,62,35,36,31,35,31,68,67,60,41,72,74,45,75,79,77,28,71,75,35,40,42,61,78,78,71,6,8,12,7,13,€15.2M
1647,186405,F. Di Santo,29,https://cdn.sofifa.org/players/4/19/186405.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png,€6.5M,€31K,1896,Right,2,3,3,High/ Medium,Normal,No,ST,9,"Jul 26, 2015",,2019,6'4,194lbs,73+2,73+2,73+2,72+2,74+2,74+2,74+2,72+2,73+2,73+2,73+2,72+2,69+2,69+2,69+2,72+2,59+2,60+2,60+2,60+2,59+2,56+2,56+2,56+2,56+2,56+2,62,70,72,76,80,75,70,49,63,78,68,69,66,76,59,77,60,69,77,74,76,43,74,73,76,73,48,38,32,7,10,10,10,9,€11.1M
1649,215334,G. Carrillo,27,https://cdn.sofifa.org/players/4/19/215334.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,76,CD Leganés,https://cdn.sofifa.org/teams/2/light/100888.png,€8M,€46K,1774,Right,1,3,3,Medium/ Medium,Normal,Yes,RS,9,,Southampton,"Jun 30, 2019",6'3,192lbs,73+2,73+2,73+2,65+2,70+2,70+2,70+2,65+2,67+2,67+2,67+2,64+2,63+2,63+2,63+2,64+2,50+2,53+2,53+2,53+2,50+2,48+2,52+2,52+2,52+2,48+2,34,75,83,64,76,70,46,36,57,74,57,62,66,71,62,75,78,71,79,72,72,34,78,59,77,70,43,29,26,10,11,6,9,12,
1655,192041,N. Araújo,26,https://cdn.sofifa.org/players/4/19/192041.png,Mexico,https://cdn.sofifa.org/flags/83.png,75,78,RC Celta,https://cdn.sofifa.org/teams/2/light/450.png,€7M,€20K,1705,Right,1,3,2,Low/ Medium,Stocky,No,LCB,2,"Jul 2, 2018",,2023,6'2,192lbs,55+2,55+2,55+2,53+2,54+2,54+2,54+2,53+2,55+2,55+2,55+2,56+2,61+2,61+2,61+2,56+2,67+2,71+2,71+2,71+2,67+2,69+2,74+2,74+2,74+2,69+2,32,34,78,72,36,53,44,45,66,69,69,72,50,71,63,57,66,72,85,39,65,76,30,43,54,71,62,80,79,7,8,13,6,9,€15.2M
1667,215089,E. Kalinski,31,https://cdn.sofifa.org/players/4/19/215089.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,Club Atlético Banfield,https://cdn.sofifa.org/teams/2/light/110404.png,€5.5M,€21K,1951,Right,1,4,3,Medium/ High,Lean,No,RDM,23,,Club Tijuana,"Jun 30, 2019",6'0,170lbs,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,70+2,70+2,70+2,70+2,73+2,73+2,73+2,70+2,70+2,73+2,73+2,73+2,70+2,70+2,72+2,72+2,72+2,70+2,60,45,72,80,49,71,68,58,76,77,75,61,71,65,64,59,91,85,82,57,74,70,70,73,41,68,65,73,69,7,6,14,15,8,
1677,171830,N. Spolli,35,https://cdn.sofifa.org/players/4/19/171830.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,Genoa,https://cdn.sofifa.org/teams/2/light/110556.png,€1.6M,€11K,1392,Right,2,3,2,Medium/ High,Lean,No,CB,2,"Jul 26, 2017",,2023,6'4,198lbs,48+2,48+2,48+2,38+2,41+2,41+2,41+2,38+2,38+2,38+2,38+2,39+2,44+2,44+2,44+2,39+2,54+2,61+2,61+2,61+2,54+2,58+2,73+2,73+2,73+2,58+2,25,36,78,45,35,45,19,18,45,49,32,46,32,60,32,72,68,33,93,22,73,79,20,25,33,73,76,78,74,8,7,10,10,14,€2.7M
1680,214327,V. Hernández,29,https://cdn.sofifa.org/players/4/19/214327.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,75,Atlético Nacional,https://cdn.sofifa.org/teams/2/light/101100.png,€6.5M,€6K,1830,Right,1,3,4,Medium/ Medium,Normal,No,LM,16,"Jan 24, 2018",,2023,5'3,150lbs,67+2,67+2,67+2,74+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,66+2,66+2,66+2,74+2,57+2,51+2,51+2,51+2,57+2,53+2,40+2,40+2,40+2,53+2,72,68,40,72,61,75,49,45,66,74,90,88,93,65,94,69,91,78,29,67,36,21,75,72,73,77,62,20,21,10,15,15,13,11,€9.1M
1690,212541,L. Vangioni,31,https://cdn.sofifa.org/players/4/19/212541.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,Monterrey,https://cdn.sofifa.org/teams/2/light/1032.png,€4.4M,€37K,2038,Left,1,3,3,High/ High,Lean,No,LWB,11,"Jul 21, 2017",,2019,5'10,150lbs,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,71+2,70+2,70+2,70+2,71+2,74+2,72+2,72+2,72+2,74+2,74+2,72+2,72+2,72+2,74+2,76,51,60,69,61,71,71,62,69,73,87,79,77,70,66,78,73,79,69,73,85,75,68,64,69,68,70,74,74,9,9,9,11,7,€7.4M
1694,224574,O. Pineda,22,https://cdn.sofifa.org/players/4/19/224574.png,Mexico,https://cdn.sofifa.org/flags/83.png,75,83,Guadalajara,https://cdn.sofifa.org/teams/2/light/1880.png,€9.5M,€30K,2020,Right,1,4,4,High/ High,Normal,No,RDM,7,"Jan 1, 2016",,2023,5'7,141lbs,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,75+2,73+2,73+2,73+2,75+2,72+2,69+2,69+2,69+2,72+2,70+2,62+2,62+2,62+2,70+2,67,65,41,78,67,77,68,56,72,75,85,87,91,72,85,72,65,87,57,73,67,67,68,72,63,72,57,65,65,15,14,7,10,10,€18.1M
1719,225356,A. Ibargüen,26,https://cdn.sofifa.org/players/4/19/225356.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,76,Club América,https://cdn.sofifa.org/teams/2/light/1879.png,€8M,€56K,1786,Right,1,3,3,High/ Medium,Lean,No,LM,11,"Jan 5, 2018",,2023,5'6,139lbs,66+2,66+2,66+2,74+2,72+2,72+2,72+2,74+2,72+2,72+2,72+2,73+2,65+2,65+2,65+2,73+2,56+2,51+2,51+2,51+2,56+2,52+2,42+2,42+2,42+2,52+2,70,68,44,68,49,80,61,52,66,74,91,90,92,66,86,65,82,56,37,66,46,34,69,71,53,64,51,24,21,9,8,14,14,9,€14.2M
1724,214605,A. Mejía,29,https://cdn.sofifa.org/players/4/19/214605.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,75,Club León,https://cdn.sofifa.org/teams/2/light/110781.png,€5M,€26K,1775,Right,1,2,2,Medium/ High,Stocky,No,RDM,13,"Jul 28, 2016",,2023,5'10,174lbs,57+2,57+2,57+2,60+2,60+2,60+2,60+2,60+2,63+2,63+2,63+2,63+2,69+2,69+2,69+2,63+2,70+2,74+2,74+2,74+2,70+2,70+2,70+2,70+2,70+2,70+2,59,33,51,74,31,51,36,32,73,69,65,61,66,76,68,67,53,90,85,56,81,76,58,68,37,62,65,73,71,7,14,8,8,13,€8.5M
1729,158543,O. Peralta,34,https://cdn.sofifa.org/players/4/19/158543.png,Mexico,https://cdn.sofifa.org/flags/83.png,75,75,Club América,https://cdn.sofifa.org/teams/2/light/1879.png,€3.5M,€56K,1917,Right,2,4,3,High/ High,Normal,Yes,LS,24,"May 13, 2014",,2020,5'10,176lbs,73+2,73+2,73+2,71+2,73+2,73+2,73+2,71+2,71+2,71+2,71+2,70+2,67+2,67+2,67+2,70+2,58+2,58+2,58+2,58+2,58+2,56+2,55+2,55+2,55+2,56+2,62,72,74,68,72,72,66,56,64,76,69,70,77,75,60,73,80,71,78,69,78,42,80,69,73,80,35,35,46,14,15,9,7,10,€6M
1737,172113,M. Fritzler,31,https://cdn.sofifa.org/players/4/19/172113.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,Club Atlético Colón,https://cdn.sofifa.org/teams/2/light/110406.png,€4.5M,€13K,1832,Right,1,3,2,Medium/ High,Normal,No,CDM,5,"Jul 19, 2017",,2019,5'10,161lbs,59+2,59+2,59+2,59+2,61+2,61+2,61+2,59+2,64+2,64+2,64+2,62+2,69+2,69+2,69+2,62+2,67+2,73+2,73+2,73+2,67+2,68+2,73+2,73+2,73+2,68+2,43,39,65,76,45,61,59,44,70,70,55,54,66,68,60,66,80,74,72,52,83,78,63,67,51,70,69,77,74,7,8,14,11,11,€6.7M
1741,207444,J. Damm,25,https://cdn.sofifa.org/players/4/19/207444.png,Mexico,https://cdn.sofifa.org/flags/83.png,75,76,Tigres U.A.N.L.,https://cdn.sofifa.org/teams/2/light/1970.png,€8M,€44K,1893,Right,3,3,3,High/ Medium,Lean,No,RM,25,"Jun 10, 2015",,2022,6'1,154lbs,70+3,70+3,70+3,73+3,72+3,72+3,72+3,73+3,71+3,71+3,71+3,73+3,65+3,65+3,65+3,73+3,62+3,58+3,58+3,58+3,62+3,60+3,54+3,54+3,54+3,60+3,68,68,65,70,51,77,66,59,62,75,94,95,89,71,66,65,72,77,69,55,68,48,68,60,61,69,42,35,37,8,15,16,11,10,€13.4M
1765,213597,D. Valdés,24,https://cdn.sofifa.org/players/4/19/213597.png,Chile,https://cdn.sofifa.org/flags/55.png,75,79,Monarcas Morelia,https://cdn.sofifa.org/teams/2/light/1028.png,€8.5M,€10K,1927,Right,1,3,4,High/ High,Lean,No,CAM,10,"Jun 16, 2016",,2023,5'10,165lbs,71+2,71+2,71+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,71+2,71+2,71+2,73+2,64+2,63+2,63+2,63+2,64+2,62+2,58+2,58+2,58+2,62+2,67,64,64,75,63,74,70,67,73,75,80,79,74,70,67,75,68,75,74,74,54,53,73,75,55,78,50,52,42,8,9,12,8,8,€15.1M
1771,205408,S. Gentiletti,33,https://cdn.sofifa.org/players/4/19/205408.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,75,Albacete BP,https://cdn.sofifa.org/teams/2/light/1854.png,€2.7M,€9K,1743,Left,2,2,2,Low/ Medium,Normal,No,LCB,19,"Aug 29, 2018",,2019,6'1,170lbs,52+2,52+2,52+2,53+2,53+2,53+2,53+2,53+2,54+2,54+2,54+2,54+2,58+2,58+2,58+2,54+2,64+2,67+2,67+2,67+2,64+2,67+2,74+2,74+2,74+2,67+2,49,13,73,60,30,59,58,63,65,65,69,68,61,72,62,78,77,38,78,48,77,75,29,52,43,74,73,77,76,14,9,12,6,14,€4.3M
1777,212067,C. Vargas,29,https://cdn.sofifa.org/players/4/19/212067.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,76,Deportivo Cali,https://cdn.sofifa.org/teams/2/light/101102.png,€5M,€5K,1246,Left,1,3,1,Medium/ Medium,Normal,No,GK,1,,Atlético Nacional,"Dec 31, 2018",6'1,176lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,24,23,13,16,25,23,24,19,42,48,55,72,45,25,69,35,67,13,22,23,12,50,46,32,23,19,15,78,75,65,71,77,
1788,159591,A. Pérez,37,https://cdn.sofifa.org/players/4/19/159591.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,75,Deportivo Cali,https://cdn.sofifa.org/teams/2/light/101102.png,€900K,€2K,1908,Right,1,3,2,Medium/ Medium,Normal,No,RDM,5,"Jan 1, 2009",,2023,5'11,165lbs,64+2,64+2,64+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,71+2,71+2,71+2,64+2,68+2,74+2,74+2,74+2,68+2,68+2,72+2,72+2,72+2,68+2,61,55,55,74,59,59,49,56,71,71,49,49,64,75,60,75,68,66,74,74,88,81,69,72,62,84,75,74,66,8,12,12,10,15,€1.3M
