sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
232293,https://sofifa.com/player/232293/victor-osimhen/210002,V. Osimhen,Victor James Osimhen,21,1998-12-29,185,78,Nigeria,Napoli,Italian Serie A,1,79,87,19000000,54000,ST,Right,1,4,3,High/High,Lean,No,36100000,#Engine,SUB,9,,2020-09-01,2025,,,87,79,63,73,39,79,,,,,,,"Speed Dribbler (AI), Chip Shot (AI)",64,83,78,67,75,70,63,48,53,75,81,92,77,78,68,78,82,86,77,72,76,34,81,65,75,72,,38,19,14,14,10,9,6,78+2,78+2,78+2,75+0,76+0,76+0,76+0,75+0,73+2,73+2,73+2,74+2,67+2,67+2,67+2,74+2,59+2,56+2,56+2,56+2,59+2,56+2,53+2,53+2,53+2,56+2
236987,https://sofifa.com/player/236987/boubacar-kamara/210002,B. Kamara,Boubacar Kamara,20,1999-11-23,184,68,France,Olympique de Marseille,French Ligue 1,1,79,87,17000000,29000,"CDM, CB",Right,1,3,3,Low/High,Lean,Yes,35700000,,CDM,4,,2017-07-01,2022,,,69,46,71,71,77,74,,,,,,,,60,39,72,79,28,67,64,43,79,78,70,69,70,76,68,57,70,77,71,50,78,80,43,73,63,80,,79,77,8,12,8,6,11,60+2,60+2,60+2,65+0,64+0,64+0,64+0,65+0,68+2,68+2,68+2,68+2,73+2,73+2,73+2,68+2,74+2,78+2,78+2,78+2,74+2,75+2,76+2,76+2,76+2,75+2
244260,https://sofifa.com/player/244260/daniel-olmo-carvajal/210002,Dani Olmo,Daniel Olmo Carvajal,22,1998-05-07,179,72,Spain,RB Leipzig,German 1. Bundesliga,1,79,87,18500000,48000,"CAM, LM, RM",Right,1,4,4,High/Medium,Lean,No,35200000,,RAM,25,,2020-01-25,2024,RW,7,68,76,77,83,50,60,,,,,,,"Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",77,75,43,78,76,83,72,75,77,83,77,60,80,76,86,79,55,79,54,76,51,57,80,78,66,82,,50,44,15,15,13,12,11,73+2,73+2,73+2,78+0,78+0,78+0,78+0,78+0,79+2,79+2,79+2,78+2,76+2,76+2,76+2,78+2,67+2,65+2,65+2,65+2,67+2,63+2,54+2,54+2,54+2,63+2
228092,https://sofifa.com/player/228092/sander-berge/210002,S. Berge,Sander Berge,22,1998-02-18,195,96,Norway,Sheffield United,English Premier League,1,79,86,16000000,34000,"CDM, CM",Right,1,3,3,Medium/High,Normal,No,33600000,"#Aerial Threat, #Strength",RCM,8,,2020-01-30,2024,RCM,15,68,49,74,74,76,85,,,,,,,,65,34,79,82,48,77,68,50,79,79,59,76,56,75,45,75,73,86,91,55,72,77,65,72,46,83,,77,67,14,9,10,8,10,67+2,67+2,67+2,68+0,69+0,69+0,69+0,68+0,71+2,71+2,71+2,72+2,76+2,76+2,76+2,72+2,75+2,78+2,78+2,78+2,75+2,75+2,77+2,77+2,77+2,75+2
233731,https://sofifa.com/player/233731/alexander-isak/210002,A. Isak,Alexander Isak,20,1999-09-21,192,77,Sweden,Real Sociedad,Spain Primera Division,1,79,86,18000000,28000,ST,Right,1,5,4,High/Low,Normal,Yes,41400000,,ST,19,,2019-07-01,2024,SUB,10,82,80,65,78,28,69,,,,,,,"Speed Dribbler (AI), Outside Foot Shot",61,82,70,72,81,78,67,45,47,81,81,83,80,74,68,84,71,70,75,73,52,29,80,76,75,77,,21,18,7,6,9,7,11,79+2,79+2,79+2,77+0,78+0,78+0,78+0,77+0,76+2,76+2,76+2,75+2,67+2,67+2,67+2,75+2,54+2,51+2,51+2,51+2,54+2,51+2,45+2,45+2,45+2,51+2
234378,https://sofifa.com/player/234378/declan-rice/210002,D. Rice,Declan Rice,21,1999-01-14,185,80,England,West Ham United,English Premier League,1,79,86,16500000,31000,"CDM, CM",Right,1,3,2,Low/High,Normal,Yes,34700000,,RDM,41,,2016-06-29,2024,CDM,4,65,44,65,69,78,77,,,,,,,Leadership,39,31,69,79,33,68,55,32,74,76,62,67,53,75,58,64,73,79,76,56,80,78,52,70,30,77,,81,79,8,11,14,5,9,60+2,60+2,60+2,62+0,64+0,64+0,64+0,62+0,67+2,67+2,67+2,65+2,72+2,72+2,72+2,65+2,72+2,78+2,78+2,78+2,72+2,73+2,77+2,77+2,77+2,73+2
234612,https://sofifa.com/player/234612/jonathan-ikone/210002,J. Ikoné,Nanitamo Jonathan Ikoné,22,1998-05-02,175,73,France,LOSC Lille,French Ligue 1,1,79,86,17500000,36000,"RM, CAM",Left,1,3,4,High/Medium,Normal,No,36800000,#Acrobat,RM,10,,2018-07-02,2023,SUB,8,89,70,73,83,33,60,,,,,,,"Flair, Playmaker (AI), Technical Dribbler (AI)",73,70,39,73,59,83,78,72,65,81,90,89,92,76,81,75,33,73,54,68,65,27,76,80,69,79,,36,36,9,8,13,8,14,71+2,71+2,71+2,79+0,77+0,77+0,77+0,79+0,78+2,78+2,78+2,78+2,71+2,71+2,71+2,78+2,61+2,56+2,56+2,56+2,61+2,56+2,45+2,45+2,45+2,56+2
234943,https://sofifa.com/player/234943/florian-neuhaus/210002,F. Neuhaus,Florian Neuhaus,23,1997-03-16,183,74,Germany,Borussia Mönchengladbach,German 1. Bundesliga,1,79,86,17500000,37000,CM,Right,1,4,3,Medium/Medium,Lean,Yes,33300000,,LDM,32,,2017-07-01,2024,SUB,26,67,69,76,81,64,67,,,,,,,Playmaker (AI),65,65,60,83,63,81,73,41,79,83,74,61,79,80,78,74,54,80,65,81,60,63,70,82,49,77,,65,64,6,11,10,11,15,72+2,72+2,72+2,76+0,76+0,76+0,76+0,76+0,79+2,79+2,79+2,76+2,79+2,79+2,79+2,76+2,71+2,73+2,73+2,73+2,71+2,70+2,66+2,66+2,66+2,70+2
237942,https://sofifa.com/player/237942/pervis-estupinan/210002,P. Estupiñán,Pervis Josué Estupiñán Tenorio,22,1998-01-21,175,73,Ecuador,Villarreal CF,Spain Primera Division,1,79,86,15500000,29000,LB,Left,1,3,2,High/Medium,Normal,No,35700000,,SUB,15,,2020-09-16,2027,,,83,32,66,73,74,75,,,,,,,Speed Dribbler (AI),79,20,75,79,38,72,59,36,62,73,82,84,76,72,72,41,65,79,75,42,74,69,52,42,40,59,,80,79,14,7,14,7,7,57+2,57+2,57+2,65+0,60+0,60+0,60+0,65+0,63+2,63+2,63+2,68+2,65+2,65+2,65+2,68+2,76+2,72+2,72+2,72+2,76+2,77+2,75+2,75+2,75+2,77+2
238476,https://sofifa.com/player/238476/dan-axel-zagadou/210002,D. Zagadou,Dan-Axel Zagadou,21,1999-06-03,196,90,France,Borussia Dortmund,German 1. Bundesliga,1,79,86,16000000,38000,CB,Left,1,3,2,Medium/High,Stocky,Yes,30400000,"#Aerial Threat, #Strength",SUB,5,,2017-07-01,2022,,,59,34,61,50,81,81,,,,,,,Power Header,46,26,79,75,25,51,37,25,74,52,51,65,39,74,34,66,64,66,92,25,76,77,31,59,30,78,,87,80,9,13,5,14,14,53+2,53+2,53+2,50+0,52+0,52+0,52+0,50+0,54+2,54+2,54+2,55+2,62+2,62+2,62+2,55+2,68+2,74+2,74+2,74+2,68+2,71+2,79+2,79+2,79+2,71+2
241486,https://sofifa.com/player/241486/jules-kounde/210002,J. Koundé,Jules Koundé,21,1998-11-12,178,75,France,Sevilla FC,Spain Primera Division,1,79,86,16000000,21000,CB,Right,1,3,2,Medium/Medium,Normal,No,36800000,,RCB,12,,2019-07-03,2024,,,77,34,57,70,81,73,,,,,,,,45,32,78,75,32,67,42,26,66,71,77,77,71,82,75,41,86,69,73,30,74,82,37,44,43,76,,82,80,11,10,8,14,13,57+2,57+2,57+2,60+0,59+0,59+0,59+0,60+0,60+2,60+2,60+2,62+2,65+2,65+2,65+2,62+2,73+2,75+2,75+2,75+2,73+2,75+2,79+2,79+2,79+2,75+2
213956,https://sofifa.com/player/213956/adama-traore-diarra/210002,Adama Traoré,Adama Traoré Diarra,24,1996-01-25,178,72,Spain,Wolverhampton Wanderers,English Premier League,1,79,85,17500000,80000,"RW, RWB",Right,1,2,4,High/Low,PLAYER_BODY_TYPE_373,Yes,36800000,"#Speedster, #Dribbler",RWB,37,,2018-08-08,2023,,,96,66,68,87,38,81,,,,,,,"Flair, Speed Dribbler (AI)",79,66,40,72,52,92,67,42,54,83,97,96,85,66,88,78,79,77,87,65,70,41,64,69,47,73,,38,35,13,9,11,12,7,72+2,72+2,72+2,79+0,76+0,76+0,76+0,79+0,75+2,75+2,75+2,78+2,68+2,68+2,68+2,78+2,64+2,58+2,58+2,58+2,64+2,60+2,53+2,53+2,53+2,60+2
224254,https://sofifa.com/player/224254/cristian-pavon/210002,C. Pavón,Cristian David Pavón,24,1996-01-21,174,78,Argentina,LA Galaxy,USA Major League Soccer,1,79,85,17500000,11000,"LW, RW, LM",Right,1,3,4,High/Medium,Normal,No,,"#Speedster, #Acrobat",LM,10,Boca Juniors,,2020,,,91,76,75,79,49,74,,,,,,,"Solid Player, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",76,72,48,76,63,77,78,77,68,76,93,90,92,77,85,83,65,91,73,83,56,49,76,77,72,70,,40,33,11,10,9,13,7,75+2,75+2,75+2,79+0,77+0,77+0,77+0,79+0,78+2,78+2,78+2,78+2,73+2,73+2,73+2,78+2,68+2,64+2,64+2,64+2,68+2,64+2,56+2,56+2,56+2,64+2
227535,https://sofifa.com/player/227535/rodrigo-bentancur/210002,R. Bentancur,Rodrigo Bentancur Colmán,23,1997-06-25,187,78,Uruguay,Juventus,Italian Serie A,1,79,85,17000000,67000,CM,Right,1,4,4,Medium/Medium,Lean,No,31500000,,SUB,30,,2020-06-26,2025,,,72,58,79,82,73,73,,,,,,,,77,52,62,85,60,84,68,68,79,85,68,76,68,78,68,65,73,87,64,62,78,71,64,76,64,80,,76,71,8,7,14,14,12,68+2,68+2,68+2,75+0,73+0,73+0,73+0,75+0,76+2,76+2,76+2,77+2,79+2,79+2,79+2,77+2,78+2,78+2,78+2,78+2,78+2,76+2,73+2,73+2,73+2,76+2
229167,https://sofifa.com/player/229167/milot-rashica/210002,M. Rashica,Milot Rashica,24,1996-06-28,177,73,Kosovo,SV Werder Bremen,German 1. Bundesliga,1,79,85,17500000,32000,"CF, LW, RW",Right,1,4,4,High/Medium,Normal,Yes,33300000,#Acrobat,LW,7,,2018-01-31,2022,,,88,79,74,84,46,65,,,,,,,"Power Free-Kick, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot",76,76,53,76,77,85,78,69,69,81,93,84,90,78,82,86,47,76,61,81,67,47,75,74,73,78,,37,36,7,14,7,14,6,76+2,76+2,76+2,80+0,79+0,79+0,79+0,80+0,79+2,79+2,79+2,79+2,73+2,73+2,73+2,79+2,66+2,62+2,62+2,62+2,66+2,62+2,54+2,54+2,54+2,62+2
234742,https://sofifa.com/player/234742/harvey-barnes/210002,H. Barnes,Harvey Lewis Barnes,22,1997-12-09,180,66,England,Leicester City,English Premier League,1,79,85,17500000,80000,"LW, CAM",Right,1,4,3,High/Medium,Normal,Yes,36800000,,LW,15,,2016-06-25,2024,,,83,72,75,80,45,57,,,,,,,"Long Shot Taker (AI), Outside Foot Shot",77,74,41,78,58,81,70,64,65,80,85,82,80,79,78,71,57,72,54,75,47,43,79,78,49,74,,49,47,6,5,11,8,10,72+2,72+2,72+2,79+0,78+0,78+0,78+0,79+0,78+2,78+2,78+2,78+2,73+2,73+2,73+2,78+2,66+2,61+2,61+2,61+2,66+2,62+2,52+2,52+2,52+2,62+2
240754,https://sofifa.com/player/240754/youcef-atal/210002,Y. Atal,Youcef Atal,24,1996-05-17,175,66,Algeria,OGC Nice,French Ligue 1,1,79,85,15500000,32000,"RB, RW",Right,1,5,4,High/Medium,Lean,No,32600000,#Speedster,RB,20,,2018-07-17,2023,,,91,70,72,81,72,72,,,,,,,"Injury Prone, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",75,73,64,75,68,83,69,51,71,80,92,91,80,78,79,70,71,76,68,63,78,74,75,72,59,76,,76,75,11,12,8,9,7,75+2,75+2,75+2,79+0,77+0,77+0,77+0,79+0,77+2,77+2,77+2,79+2,75+2,75+2,75+2,79+2,77+2,75+2,75+2,75+2,77+2,77+2,73+2,73+2,73+2,77+2
241184,https://sofifa.com/player/241184/hector-junior-firpo-adames/210002,Junior Firpo,Héctor Junior Firpo Adamés,23,1996-08-22,184,78,Spain,FC Barcelona,Spain Primera Division,1,79,85,15500000,110000,"LB, LM",Left,1,3,3,Medium/Medium,Lean,Yes,34900000,,SUB,24,,2019-08-04,2024,,,83,64,71,73,75,76,,,,,,,Early Crosser,80,66,74,74,55,74,65,43,69,76,83,83,63,77,63,68,77,79,74,59,76,78,76,67,38,75,,77,77,7,7,7,14,14,73+2,73+2,73+2,74+0,73+0,73+0,73+0,74+0,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,77+2,75+2,75+2,75+2,77+2,77+2,76+2,76+2,76+2,77+2
213331,https://sofifa.com/player/213331/jonathan-tah/210002,J. Tah,Jonathan Tah,24,1996-02-11,195,97,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,1,79,84,15000000,50000,CB,Right,2,4,2,Medium/Medium,Stocky,Yes,26600000,"#Aerial Threat, #Strength",SUB,4,,2015-07-16,2023,SUB,5,66,27,57,57,80,81,,,,,,,,35,20,79,73,24,55,30,27,63,64,63,68,48,80,38,44,72,64,92,25,76,77,27,60,38,75,,83,81,11,8,7,9,14,51+2,51+2,51+2,52+0,53+0,53+0,53+0,52+0,56+2,56+2,56+2,56+2,62+2,62+2,62+2,56+2,69+2,74+2,74+2,74+2,69+2,71+2,79+2,79+2,79+2,71+2
213661,https://sofifa.com/player/213661/andreas-christensen/210002,A. Christensen,Andreas Christensen,24,1996-04-10,187,82,Denmark,Chelsea,English Premier League,1,79,84,15000000,69000,CB,Right,2,3,2,Low/Medium,Lean,Yes,29600000,,RCB,4,,2013-04-10,2022,LCB,6,66,31,63,68,82,72,,,,,,,,49,36,79,79,25,66,32,22,71,73,63,69,61,78,61,31,73,68,73,20,73,82,32,62,36,76,,84,82,10,12,8,6,8,54+2,54+2,54+2,59+0,58+0,58+0,58+0,59+0,62+2,62+2,62+2,63+2,68+2,68+2,68+2,63+2,73+2,77+2,77+2,77+2,73+2,75+2,79+2,79+2,79+2,75+2
214092,https://sofifa.com/player/214092/alexey-miranchuk/210002,A. Miranchuk,Aleksey Miranchuk,24,1995-10-17,182,74,Russia,Atalanta,Italian Serie A,1,79,84,17000000,50000,"CAM, ST",Left,1,2,3,High/Medium,Lean,No,30200000,,SUB,59,,2020-09-04,2025,SUB,15,75,70,78,80,31,62,,,,,,,"Flair, Playmaker (AI), Technical Dribbler (AI)",72,71,57,81,67,81,74,78,77,80,74,76,78,77,78,65,58,75,64,73,43,36,78,82,67,76,,28,29,8,8,9,12,15,72+2,72+2,72+2,77+0,77+0,77+0,77+0,77+0,79+2,79+2,79+2,78+2,74+2,74+2,74+2,78+2,59+2,57+2,57+2,57+2,59+2,54+2,45+2,45+2,45+2,54+2
214394,https://sofifa.com/player/214394/wilmar-barrios/210002,W. Barrios,Wílmar Enrique Barrios Terán,26,1993-10-16,178,74,Colombia,,,,79,84,0,0,"CDM, CM",Right,1,3,3,Medium/High,Lean,No,,,,,,,,CM,5,73,38,66,69,79,84,,,,,,,Dives Into Tackles (AI),59,30,59,80,22,66,31,31,65,69,76,71,75,77,73,53,78,93,80,39,84,80,60,65,32,80,,81,74,13,14,13,15,16,58+2,58+2,58+2,64+0,63+0,63+0,63+0,64+0,66+2,66+2,66+2,68+2,70+2,70+2,70+2,68+2,76+2,78+2,78+2,78+2,76+2,76+2,78+2,78+2,78+2,76+2
220253,https://sofifa.com/player/220253/munir-el-haddadi/210002,Munir,Munir El Haddadi Mohamed,24,1995-09-01,175,69,Spain,Sevilla FC,Spain Primera Division,1,79,84,17000000,30000,"ST, RW, LW",Left,2,3,4,High/Low,Lean,Yes,37000000,,SUB,11,,2019-01-11,2023,,,80,78,75,82,35,66,,,,,,,"Speed Dribbler (AI), Chip Shot (AI)",73,79,77,80,80,82,81,67,62,83,83,77,82,78,80,78,62,73,66,77,58,25,78,76,66,80,,27,25,9,12,6,13,16,79+2,79+2,79+2,79+0,80+0,80+0,80+0,79+0,79+2,79+2,79+2,78+2,71+2,71+2,71+2,78+2,59+2,56+2,56+2,56+2,59+2,55+2,49+2,49+2,49+2,55+2
221479,https://sofifa.com/player/221479/dominic-calvert-lewin/210002,D. Calvert-Lewin,Dominic Calvert-Lewin,23,1997-03-16,187,71,England,Everton,English Premier League,1,79,84,17000000,80000,ST,Right,1,3,3,High/Medium,Normal,Yes,33600000,,ST,9,,2016-08-31,2025,,,83,76,63,75,38,80,,,,,,,"Solid Player, Speed Dribbler (AI), Power Header",65,78,85,70,73,76,64,54,44,76,79,87,72,79,64,79,90,79,81,65,75,34,82,64,77,71,,31,23,12,12,8,7,11,79+2,79+2,79+2,75+0,76+0,76+0,76+0,75+0,73+2,73+2,73+2,74+2,65+2,65+2,65+2,74+2,58+2,55+2,55+2,55+2,58+2,56+2,54+2,54+2,54+2,56+2
222400,https://sofifa.com/player/222400/harry-winks/210002,H. Winks,Harry Winks,24,1996-02-02,176,74,England,Tottenham Hotspur,English Premier League,1,79,84,15500000,69000,"CDM, CM",Right,1,3,3,Medium/High,Normal,Yes,30600000,,LDM,8,,2014-07-01,2024,,,67,58,78,82,72,68,,,,,,,Injury Prone,65,55,50,84,50,81,73,68,80,82,73,62,83,80,82,63,50,79,61,60,77,76,64,81,51,83,,76,67,8,11,14,13,10,66+2,66+2,66+2,73+0,73+0,73+0,73+0,73+0,76+2,76+2,76+2,75+2,78+2,78+2,78+2,75+2,75+2,78+2,78+2,78+2,75+2,73+2,70+2,70+2,70+2,73+2
228251,https://sofifa.com/player/228251/lorenzo-pellegrini/210002,L. Pellegrini,Lorenzo Pellegrini,24,1996-06-19,186,77,Italy,Roma,Italian Serie A,1,79,84,17000000,49000,"CAM, CM, CDM",Right,2,3,3,Medium/Medium,Normal,Yes,30200000,,LF,7,,2017-07-01,2022,SUB,11,75,71,81,77,72,69,,,,,,,Long Shot Taker (AI),74,67,71,86,69,77,70,69,81,81,75,75,69,76,70,76,67,73,66,74,71,70,75,83,67,80,,74,72,12,7,10,13,11,74+2,74+2,74+2,77+0,77+0,77+0,77+0,77+0,79+2,79+2,79+2,78+2,79+2,79+2,79+2,78+2,75+2,76+2,76+2,76+2,75+2,74+2,72+2,72+2,72+2,74+2
228941,https://sofifa.com/player/228941/andre-miguel-valente-da-silva/210002,André Silva,André Miguel Valente da Silva,24,1995-11-06,184,78,Portugal,Eintracht Frankfurt,German 1. Bundesliga,1,79,84,17000000,32000,ST,Right,2,3,4,Medium/Medium,Normal,Yes,30200000,,LS,33,,2020-09-10,2023,SUB,9,71,79,64,79,43,75,,,,,,,Outside Foot Shot,59,82,78,69,79,80,69,33,59,80,75,67,77,80,73,79,84,76,73,70,75,55,84,71,83,76,,40,35,14,13,7,11,8,79+2,79+2,79+2,76+0,78+0,78+0,78+0,76+0,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,60+2,60+2,60+2,60+2,60+2,58+2,56+2,56+2,56+2,58+2
233738,https://sofifa.com/player/233738/igor-zubeldia-elorza/210002,Zubeldia,Igor Zubeldía Elorza,23,1997-03-30,181,73,Spain,Real Sociedad,Spain Primera Division,1,79,84,15500000,26000,"CDM, CM, CB",Right,1,3,3,Medium/Medium,Normal,Yes,33700000,,RCM,5,,2015-07-01,2024,,,65,67,76,72,75,80,,,,,,,Leadership,65,67,65,82,47,70,73,65,79,76,63,67,70,78,74,75,78,83,77,68,84,76,65,76,51,71,,79,75,6,8,9,10,13,70+2,70+2,70+2,71+0,72+0,72+0,72+0,71+0,73+2,73+2,73+2,72+2,77+2,77+2,77+2,72+2,75+2,78+2,78+2,78+2,75+2,75+2,76+2,76+2,76+2,75+2
234153,https://sofifa.com/player/234153/carlos-soler-barragan/210002,Carlos Soler,Carlos Soler Barragán,23,1997-01-02,180,76,Spain,Valencia CF,Spain Primera Division,1,79,84,17000000,34000,"RM, LM, CM",Right,1,4,3,Medium/Medium,Lean,Yes,37000000,,RM,8,,2015-07-01,2023,,,79,74,79,78,62,70,,,,,,,Early Crosser,78,73,56,81,66,78,69,82,76,79,77,80,75,80,70,77,56,81,68,73,65,68,75,81,73,76,,65,56,6,14,7,13,11,74+2,74+2,74+2,78+0,77+0,77+0,77+0,78+0,78+2,78+2,78+2,78+2,77+2,77+2,77+2,78+2,73+2,72+2,72+2,72+2,73+2,71+2,65+2,65+2,65+2,71+2
237238,https://sofifa.com/player/237238/scott-mctominay/210002,S. McTominay,Scott McTominay,23,1996-12-08,193,88,Scotland,Manchester United,English Premier League,1,79,84,15500000,85000,"CDM, CM",Right,1,3,3,High/High,Normal,Yes,30600000,,SUB,39,,2013-07-01,2025,CM,6,68,71,75,76,76,84,,,,,,,"Solid Player, Long Passer (AI), Long Shot Taker (AI), Team Player",70,66,77,80,62,77,70,55,79,78,67,68,69,78,62,81,70,84,84,80,85,75,68,75,59,78,,80,72,9,6,6,10,11,74+2,74+2,74+2,73+0,74+0,74+0,74+0,73+0,75+2,75+2,75+2,75+2,78+2,78+2,78+2,75+2,76+2,78+2,78+2,78+2,76+2,75+2,77+2,77+2,77+2,75+2
239433,https://sofifa.com/player/239433/nemanja-maksimovic/210002,N. Maksimović,Nemanja Maksimović,25,1995-01-26,189,78,Serbia,Getafe CF,Spain Primera Division,1,79,84,15000000,29000,"CDM, CM",Right,1,3,3,High/High,Normal,Yes,32600000,,LDM,20,,2018-07-16,2024,,,60,68,75,71,77,78,,,,,,,,65,70,73,80,49,70,63,72,76,76,58,62,61,80,59,72,76,84,76,69,78,81,73,78,50,77,,79,70,14,10,15,15,13,72+2,72+2,72+2,71+0,73+0,73+0,73+0,71+0,74+2,74+2,74+2,73+2,77+2,77+2,77+2,73+2,75+2,78+2,78+2,78+2,75+2,74+2,77+2,77+2,77+2,74+2
241727,https://sofifa.com/player/241727/predrag-rajkovic/210002,P. Rajković,Predrag Rajković,24,1995-10-31,191,85,Serbia,Stade de Reims,French Ligue 1,1,79,84,12500000,20000,GK,Right,1,2,1,Medium/Medium,Normal,No,25900000,,GK,1,,2019-06-21,2023,,,,,,,,,78,77,74,81,23,79,,13,9,13,26,8,8,14,10,25,18,30,18,32,75,29,56,35,26,66,10,25,10,4,42,20,32,,10,10,78,77,74,79,81,25+2,25+2,25+2,21+0,24+0,24+0,24+0,21+0,24+2,24+2,24+2,22+2,26+2,26+2,26+2,22+2,21+2,24+2,24+2,24+2,21+2,20+2,22+2,22+2,22+2,20+2
244621,https://sofifa.com/player/244621/carlos-vinicius-alves-morais/210002,Vinícius,Carlos Vinícius Alves Morais,25,1995-03-22,190,83,Brazil,SL Benfica,Portuguese Liga ZON SAGRES,1,79,84,17000000,18000,ST,Left,1,3,3,High/Medium,Normal,Yes,35300000,#Strength,ST,95,,2019-07-20,2024,,,75,80,57,75,41,83,,,,,,,Technical Dribbler (AI),45,83,70,68,76,77,65,36,47,78,74,76,65,81,42,84,52,77,89,70,84,41,84,62,71,86,,33,25,15,13,13,7,6,79+2,79+2,79+2,73+0,77+0,77+0,77+0,73+0,73+2,73+2,73+2,71+2,66+2,66+2,66+2,71+2,57+2,57+2,57+2,57+2,57+2,54+2,55+2,55+2,55+2,54+2
205569,https://sofifa.com/player/205569/james-ward-prowse/210002,J. Ward-Prowse,James Ward-Prowse,25,1994-11-01,173,66,England,Southampton,English Premier League,1,79,83,16000000,58000,CM,Right,2,3,3,Medium/Medium,Normal,Yes,31600000,"#Crosser, #FK Specialist",RCM,8,,2011-06-01,2025,SUB,16,60,72,85,77,66,67,,,,,,,"Early Crosser, Long Passer (AI), Long Shot Taker (AI)",89,70,57,85,51,75,91,89,82,82,66,55,75,75,77,78,65,90,56,75,67,67,67,82,82,79,,68,62,12,12,10,15,15,70+2,70+2,70+2,76+0,74+0,74+0,74+0,76+0,77+2,77+2,77+2,77+2,79+2,79+2,79+2,77+2,75+2,74+2,74+2,74+2,75+2,72+2,66+2,66+2,66+2,72+2
208920,https://sofifa.com/player/208920/nathan-ake/210002,N. Aké,Nathan Aké,25,1995-02-18,180,75,Netherlands,Manchester City,English Premier League,1,79,83,14500000,100000,CB,Left,1,3,2,Medium/High,Normal,Yes,27900000,,SUB,6,,2020-08-05,2025,SUB,12,74,53,70,71,81,76,,,,,,,,63,48,76,77,52,69,62,59,73,74,75,74,73,79,70,63,88,75,76,56,73,81,51,66,53,76,,82,81,10,7,7,16,10,65+2,65+2,65+2,67+0,66+0,66+0,66+0,67+0,68+2,68+2,68+2,69+2,72+2,72+2,72+2,69+2,76+2,77+2,77+2,77+2,76+2,77+2,79+2,79+2,79+2,77+2
210385,https://sofifa.com/player/210385/rui-tiago-dantas-da-silva/210002,Rui Silva,Rui Tiago Dantas da Silva,26,1994-02-07,191,91,Portugal,Granada CF,Spain Primera Division,1,79,83,12000000,23000,GK,Right,1,3,1,Medium/Medium,Normal,No,26100000,,GK,1,,2017-01-27,2021,SUB,12,,,,,,,78,74,75,84,30,80,Saves with Feet,13,20,14,25,20,18,19,20,26,24,31,30,34,71,24,56,62,27,66,14,19,27,20,50,30,49,,10,19,78,74,75,80,84,31+2,31+2,31+2,27+0,30+0,30+0,30+0,27+0,30+2,30+2,30+2,28+2,30+2,30+2,30+2,28+2,26+2,29+2,29+2,29+2,26+2,26+2,28+2,28+2,28+2,26+2
210625,https://sofifa.com/player/210625/kevin-mbabu/210002,K. Mbabu,Kevin Mbabu,25,1995-04-19,184,83,Switzerland,VfL Wolfsburg,German 1. Bundesliga,1,79,83,14500000,44000,RB,Right,1,3,3,High/Medium,Normal,No,25700000,,SUB,19,,2019-07-01,2023,RWB,2,89,51,69,73,74,81,,,,,,,"Early Crosser, Speed Dribbler (AI)",77,49,67,69,39,72,64,48,65,74,90,89,76,72,73,66,78,91,79,44,74,70,72,68,35,71,,76,80,8,7,7,14,14,67+2,67+2,67+2,71+0,69+0,69+0,69+0,71+0,69+2,69+2,69+2,74+2,70+2,70+2,70+2,74+2,77+2,73+2,73+2,73+2,77+2,77+2,74+2,74+2,74+2,77+2
